identifier|generation|hp|attack|defense|special_attack|special_defense|speed|best_attack|total_attack|total_defense|total_hp_and_defense|attack_and_speed|special_attack_and_speed|best_attack_and_speed
lucario|4|70|110|70|115|70|90|115|225|140|210|200|205|205
raikou|2|90|85|75|115|100|115|115|200|175|265|200|230|230
unfezant|5|80|115|80|65|55|93|115|180|135|215|208|158|208
zangoose|3|73|115|60|60|60|90|115|175|120|193|205|150|205
arcanine|1|90|110|80|100|80|95|110|210|160|250|205|195|205
dodrio|1|60|110|70|60|60|110|110|170|130|190|220|170|220
houndoom|2|75|90|50|110|80|95|110|200|130|205|185|205|205
jolteon|1|65|65|60|110|95|130|110|175|155|220|195|240|240
latias|3|80|80|90|110|130|110|110|190|220|300|190|220|220
leafeon|4|65|110|130|60|65|95|110|170|195|260|205|155|205
lilligant|5|70|60|75|110|75|90|110|170|150|220|150|200|200
scyther|1|70|110|80|55|80|105|110|165|160|230|215|160|215
charizard|1|78|84|78|109|85|100|109|193|163|241|184|209|209
durant|5|58|109|112|48|48|109|109|157|160|218|218|157|218
typhlosion|2|78|84|78|109|85|100|109|193|163|241|184|209|209
abra|1|25|20|15|105|55|90|105|125|70|95|110|195|195
aerodactyl|1|80|105|65|60|75|130|105|165|140|220|235|190|235
floatzel|4|85|105|55|85|50|115|105|190|105|190|220|200|220
manectric|3|70|75|60|105|60|105|105|180|120|190|180|210|210
mismagius|4|60|60|60|105|105|105|105|165|165|225|165|210|210
primeape|1|65|105|60|60|70|95|105|165|130|195|200|155|200
sceptile|3|70|85|65|105|85|120|105|190|150|220|205|225|225
infernape|4|76|104|71|104|71|108|104|208|142|218|212|212|212
leavanny|5|75|103|80|70|80|92|103|173|160|235|195|162|195
sigilyph|5|72|58|80|103|80|97|103|161|160|232|155|200|200
accelgor|5|80|70|40|100|60|145|100|170|100|180|215|245|245
ambipom|4|75|100|66|60|66|115|100|160|132|207|215|175|215
celebi|2|100|100|100|100|100|100|100|200|200|300|200|200|200
dugtrio|1|35|100|50|50|70|120|100|150|120|155|220|170|220
flygon|3|80|100|80|80|80|100|100|180|160|240|200|180|200
giratina-altered|4|150|100|120|100|120|90|100|200|240|390|190|190|190
jirachi|3|100|100|100|100|100|100|100|200|200|300|200|200|200
klinklang|5|60|100|115|70|85|90|100|170|200|260|190|160|190
magmar|1|65|95|57|100|85|93|100|195|142|207|188|193|193
manaphy|4|100|100|100|100|100|100|100|200|200|300|200|200|200
mew|1|100|100|100|100|100|100|100|200|200|300|200|200|200
mr-mime|1|40|45|65|100|120|90|100|145|185|225|135|190|190
rapidash|1|65|100|70|80|80|105|100|180|150|215|205|185|205
sawsbuck|5|80|100|70|60|70|95|100|160|140|220|195|155|195
scolipede|5|60|100|89|55|69|112|100|155|158|218|212|167|212
starmie|1|60|75|85|100|85|115|100|175|170|230|190|215|215
tauros|1|75|100|95|40|70|110|100|140|165|240|210|150|210
victini|5|100|100|100|100|100|100|100|200|200|300|200|200|200
zebstrika|5|75|100|63|80|63|116|100|180|126|201|216|196|216
simipour|5|75|98|63|98|63|101|98|196|126|201|199|199|199
simisage|5|75|98|63|98|63|101|98|196|126|201|199|199|199
simisear|5|75|98|63|98|63|101|98|196|126|201|199|199|199
galvantula|5|70|77|60|97|60|108|97|174|120|190|185|205|205
cinccino|5|75|95|60|65|60|115|95|160|120|195|210|180|210
cryogonal|5|80|50|50|95|135|105|95|145|185|265|155|200|200
electabuzz|1|65|83|57|95|85|105|95|178|142|207|188|200|200
gliscor|4|75|95|125|45|75|95|95|140|200|275|190|140|190
kangaskhan|1|105|95|80|40|80|90|95|135|160|265|185|130|185
rotom|4|50|50|77|95|77|91|95|145|154|204|141|186|186
sneasel|2|55|95|55|35|75|115|95|130|130|185|210|150|210
xatu|2|65|75|70|95|70|95|95|170|140|205|170|190|190
basculin-red-striped|5|70|92|65|80|55|98|92|172|120|190|190|178|190
chatot|4|76|65|45|92|42|91|92|157|87|163|156|183|183
cobalion|5|91|90|129|90|72|108|90|180|201|292|198|198|198
crobat|2|85|90|80|70|80|130|90|160|160|245|220|200|220
drapion|4|70|90|110|60|75|95|90|150|185|255|185|155|185
fearow|1|65|90|65|61|61|100|90|151|126|191|190|161|190
lugia|2|106|90|130|90|154|110|90|180|284|390|200|200|200
ninjask|3|61|90|45|50|50|160|90|140|95|156|250|210|250
raichu|1|60|90|55|90|80|110|90|180|135|195|200|200|200
venomoth|1|70|65|60|90|75|90|90|155|135|205|155|180|180
virizion|5|91|90|72|90|129|108|90|180|201|292|198|198|198
liepard|5|64|88|50|88|50|106|88|176|100|164|194|194|194
swanna|5|75|87|63|87|63|98|87|174|126|201|185|185|185
grovyle|3|50|65|45|85|65|95|85|150|110|160|160|180|180
murkrow|2|60|85|42|85|42|91|85|170|84|144|176|176|176
plusle|3|60|50|40|85|75|95|85|135|115|175|145|180|180
ponyta|1|50|85|55|65|65|90|85|150|120|170|175|155|175
swellow|3|60|85|60|75|50|125|85|160|110|170|210|200|210
purugly|4|71|82|64|64|59|112|82|146|123|194|194|176|194
ninetales|1|73|76|75|81|100|100|81|157|175|248|176|181|181
raticate|1|55|81|60|50|70|97|81|131|130|185|178|147|178
electrode|1|60|50|70|80|80|150|80|130|150|210|200|230|230
froslass|4|70|80|70|80|70|110|80|160|140|210|190|190|190
golbat|1|75|80|70|65|75|90|80|145|145|220|170|155|170
miltank|2|95|80|105|40|70|100|80|120|175|270|180|140|180
pidgeot|1|83|80|75|70|70|101|80|150|145|228|181|171|181
tentacruel|1|80|70|65|80|120|100|80|150|185|265|170|180|180
vigoroth|3|80|80|80|55|55|90|80|135|135|215|170|145|170
swoobat|5|67|57|55|77|55|114|77|134|110|177|171|191|191
whimsicott|5|60|67|85|77|75|116|77|144|160|220|183|193|193
furret|2|85|76|64|45|55|90|76|121|119|204|166|135|166
lopunny|4|65|76|84|54|96|105|76|130|180|245|181|159|181
emolga|5|55|75|60|75|60|103|75|150|120|175|178|178|178
minun|3|60|40|50|75|85|95|75|115|135|195|135|170|170
serperior|5|75|75|95|75|95|113|75|150|190|265|188|188|188
uxie|4|75|75|130|75|130|95|75|150|260|335|170|170|170
yanma|2|65|65|45|75|45|95|75|140|90|155|160|170|170
linoone|3|78|70|61|50|61|100|70|120|122|200|170|150|170
persian|1|65|70|60|65|65|115|70|135|125|190|185|180|185
lumineon|4|69|69|76|69|86|91|69|138|162|231|160|160|160
delcatty|3|70|65|65|55|55|90|65|120|120|190|155|145|155
elekid|2|45|63|37|65|55|95|65|128|92|137|158|160|160
poliwhirl|1|65|65|65|50|50|90|65|115|115|180|155|140|155
diglett|1|10|55|25|35|45|95|55|90|70|80|150|130|150
jumpluff|2|75|55|70|55|95|110|55|110|165|240|165|165|165
pikachu|1|35|55|40|50|50|90|55|105|90|125|145|140|145
voltorb|1|40|30|50|55|55|100|55|85|105|145|130|155|155
poliwag|1|40|50|40|40|40|90|50|90|80|120|140|130|140
meowth|1|40|45|35|40|40|90|45|85|75|115|135|130|135
pachirisu|4|60|45|70|45|90|95|45|90|160|220|140|140|140
luvdisc|3|43|30|55|40|65|97|40|70|120|163|127|137|137
